,open,close,high,low,volume,money,code
2024-04-03,4.42,4.55,4.61,4.37,3745553.0,16995781.82,000007.XSHE
2024-04-08,4.53,4.49,4.63,4.49,1755876.0,7999202.84,000007.XSHE
2024-04-09,4.46,4.5,4.54,4.44,2064251.0,9273355.01,000007.XSHE
2024-04-10,4.51,4.36,4.51,4.34,2498851.0,10992470.85,000007.XSHE
2024-04-11,4.36,4.41,4.5,4.31,1805750.0,7981339.5,000007.XSHE
2024-04-12,4.4,4.43,4.5,4.4,1074500.0,4777189.0,000007.XSHE
2024-04-15,4.21,4.21,4.34,4.21,1573950.0,6640872.5,000007.XSHE
2024-04-16,4.0,4.0,4.0,4.0,278200.0,1112800.0,000007.XSHE
2024-04-17,3.8,3.8,3.95,3.8,6592238.0,25207153.9,000007.XSHE
2024-04-18,3.8,3.61,3.83,3.61,6280337.0,23306616.38,000007.XSHE
2024-04-19,3.51,3.46,3.55,3.43,6065208.0,20871343.58,000007.XSHE
2024-04-22,3.51,3.6,3.63,3.51,5622250.0,20337720.5,000007.XSHE
2024-04-23,3.56,3.61,3.65,3.53,2701881.0,9673499.43,000007.XSHE
2024-04-24,3.62,3.79,3.79,3.62,2664042.0,10020936.12,000007.XSHE
2024-04-25,3.88,3.82,3.89,3.73,3380196.0,12825687.42,000007.XSHE
2024-04-26,3.83,4.01,4.01,3.83,4031800.0,15998038.0,000007.XSHE
2024-04-29,4.21,4.21,4.21,4.21,1012450.0,4262414.5,000007.XSHE
2024-04-30,4.29,4.24,4.38,4.06,6846500.0,28892379.5,000007.XSHE
2024-05-06,4.26,4.09,4.26,4.04,2440550.0,10028589.0,000007.XSHE
2024-05-07,3.89,4.11,4.15,3.89,2959679.0,11922892.31,000007.XSHE
2024-05-08,4.11,4.13,4.15,4.09,951790.0,3911744.37,000007.XSHE
2024-05-09,4.13,4.12,4.13,4.03,1901989.0,7786626.62,000007.XSHE
2024-05-10,4.12,4.13,4.15,4.09,1984200.0,8169589.5,000007.XSHE
2024-05-13,4.11,4.13,4.13,4.04,1736150.0,7073897.0,000007.XSHE
2024-05-14,4.11,4.13,4.15,4.07,2265100.0,9297400.0,000007.XSHE
2024-05-15,4.19,4.21,4.3,4.12,3112937.0,13095271.79,000007.XSHE
2024-05-16,4.22,4.24,4.29,4.15,2712551.0,11460947.73,000007.XSHE
2024-05-17,4.25,4.36,4.39,4.19,2906150.0,12526054.5,000007.XSHE
2024-05-20,4.33,4.45,4.53,4.33,4002300.0,17814687.0,000007.XSHE
2024-05-21,4.45,4.55,4.55,4.41,2774450.0,12445922.5,000007.XSHE
2024-05-22,4.56,4.63,4.63,4.51,3487100.0,15956209.0,000007.XSHE
2024-05-23,4.63,4.63,4.71,4.53,3324276.0,15440026.78,000007.XSHE
2024-05-24,4.6,4.7,4.75,4.59,3048326.0,14320477.38,000007.XSHE
2024-05-27,4.73,4.72,4.73,4.62,2021061.0,9464198.65,000007.XSHE
2024-05-28,4.72,4.92,4.95,4.7,3352483.0,16246848.33,000007.XSHE
2024-05-29,4.93,5.0,5.08,4.91,3520879.0,17604637.86,000007.XSHE
2024-05-30,4.96,4.99,5.08,4.75,3777416.0,18878462.21,000007.XSHE
2024-05-31,4.98,5.01,5.06,4.95,2365308.0,11848143.0,000007.XSHE
2024-06-03,5.02,4.85,5.05,4.76,4527302.0,21922600.52,000007.XSHE
2024-06-04,4.81,4.88,4.89,4.7,1603650.0,7743126.0,000007.XSHE
2024-06-05,4.88,4.78,4.9,4.77,1340906.0,6482013.38,000007.XSHE
2024-06-06,4.78,4.65,4.78,4.59,2933753.0,13652164.89,000007.XSHE
2024-06-07,4.65,4.75,4.76,4.57,1806178.0,8498294.26,000007.XSHE
2024-06-11,4.78,4.96,4.96,4.73,1279526.0,6251540.5,000007.XSHE
2024-06-12,4.99,4.99,5.07,4.96,1940276.0,9693356.48,000007.XSHE
2024-06-13,4.95,4.87,5.0,4.78,2655565.0,12996090.15,000007.XSHE
2024-06-14,4.73,4.84,4.89,4.73,1316300.0,6370166.0,000007.XSHE
2024-06-17,4.84,4.79,4.88,4.77,1227150.0,5920142.5,000007.XSHE
2024-06-18,4.8,4.75,4.8,4.72,915050.0,4345977.0,000007.XSHE
2024-06-19,4.75,4.74,4.8,4.69,1075000.0,5078309.0,000007.XSHE
2024-06-20,4.77,4.63,4.77,4.62,1863800.0,8754574.0,000007.XSHE
2024-06-21,4.73,4.61,4.73,4.56,892500.0,4098195.0,000007.XSHE
2024-06-24,4.57,4.61,4.61,4.45,1868100.0,8440056.0,000007.XSHE
2024-06-25,4.65,4.7,4.75,4.61,1559850.0,7292672.0,000007.XSHE
2024-06-26,4.6,4.72,4.73,4.6,945350.0,4427549.0,000007.XSHE
2024-06-27,4.72,4.72,4.77,4.6,1588050.0,7431178.5,000007.XSHE
2024-06-28,4.73,4.74,4.78,4.69,1157900.0,5501068.0,000007.XSHE
2024-07-01,4.74,4.74,4.74,4.74,0.0,0.0,000007.XSHE
2024-07-02,4.99,5.21,5.21,4.83,27123496.0,138895456.86,000007.XSHE
2024-07-03,5.3,5.73,5.73,5.22,37281342.0,211214460.35,000007.XSHE
2024-07-04,5.39,5.16,5.59,5.16,25885506.0,137998592.76,000007.XSHE
2024-07-05,5.01,5.2,5.42,4.82,25289607.0,128925423.53,000007.XSHE
2024-07-08,5.24,5.47,5.55,5.18,20232627.0,108808080.07,000007.XSHE
2024-07-09,5.39,5.41,5.57,5.21,15002550.0,80399871.0,000007.XSHE
2024-07-10,5.35,5.29,5.35,5.18,10493327.0,55019023.94,000007.XSHE
2024-07-11,5.34,5.39,5.46,5.23,9830927.0,52307144.72,000007.XSHE
2024-07-12,5.34,5.32,5.62,5.3,15003550.0,82066927.5,000007.XSHE
2024-07-15,5.16,5.27,5.29,5.1,10631750.0,55198963.5,000007.XSHE
2024-07-16,5.21,5.21,5.26,5.12,5835450.0,30321875.0,000007.XSHE
2024-07-17,5.2,5.2,5.28,5.18,4662277.0,24303306.9,000007.XSHE
2024-07-18,5.14,5.28,5.29,5.13,5814427.0,30425864.67,000007.XSHE
2024-07-19,5.31,5.23,5.32,5.12,5133702.0,26720488.86,000007.XSHE
2024-07-22,5.22,5.29,5.33,5.0,7038750.0,36802046.5,000007.XSHE
2024-07-23,5.29,5.27,5.38,5.24,5924300.0,31372332.0,000007.XSHE
2024-07-24,5.21,5.19,5.25,5.12,4780100.0,24769406.0,000007.XSHE
2024-07-25,5.19,5.1,5.23,5.1,3688550.0,18991925.0,000007.XSHE
2024-07-26,5.1,5.19,5.2,5.09,2575900.0,13293015.0,000007.XSHE
2024-07-29,5.28,5.09,5.28,5.03,4561700.0,23345410.0,000007.XSHE
2024-07-30,5.09,5.04,5.12,5.01,2556300.0,12892502.0,000007.XSHE
2024-07-31,5.04,5.09,5.1,5.02,2639100.0,13374467.0,000007.XSHE
2024-08-01,5.06,5.09,5.14,5.06,1904500.0,9710343.0,000007.XSHE
2024-08-02,5.3,4.88,5.31,4.85,10332350.0,51869234.13,000007.XSHE
2024-08-05,4.63,4.8,4.98,4.58,5449624.0,26313700.08,000007.XSHE
2024-08-06,4.8,4.78,4.84,4.69,3535400.0,16747272.0,000007.XSHE
2024-08-07,4.78,4.75,4.81,4.73,1820215.0,8689088.1,000007.XSHE
2024-08-08,4.75,4.64,4.75,4.58,2679700.0,12419983.0,000007.XSHE
2024-08-09,4.67,4.67,4.75,4.64,2166200.0,10173382.0,000007.XSHE
2024-08-12,4.7,4.62,4.72,4.59,2441650.0,11303461.0,000007.XSHE
2024-08-13,4.64,4.6,4.66,4.5,1773550.0,8092788.0,000007.XSHE
2024-08-14,4.6,4.55,4.63,4.55,1228700.0,5634317.0,000007.XSHE
2024-08-15,4.57,4.63,4.63,4.5,2240400.0,10285954.0,000007.XSHE
2024-08-16,4.63,4.5,4.66,4.48,2362750.0,10730150.0,000007.XSHE
2024-08-19,4.59,4.38,4.6,4.33,3596357.0,15914673.95,000007.XSHE
2024-08-20,4.41,4.32,4.41,4.29,2044400.0,8867984.0,000007.XSHE
2024-08-21,4.32,4.35,4.39,4.25,1907300.0,8288003.0,000007.XSHE
2024-08-22,4.36,4.27,4.38,4.26,1336850.0,5764222.0,000007.XSHE
2024-08-23,4.26,4.2,4.3,4.16,2594100.0,10997665.0,000007.XSHE
2024-08-26,4.17,4.32,4.35,4.17,2151800.0,9246885.0,000007.XSHE
2024-08-27,4.31,4.47,4.5,4.3,3612000.0,16035678.0,000007.XSHE
2024-08-28,4.48,4.72,4.78,4.42,6729937.0,31288273.9,000007.XSHE
2024-08-29,4.66,4.64,4.75,4.59,4456200.0,20736423.0,000007.XSHE
2024-08-30,4.6,4.63,4.7,4.56,2989450.0,13818823.0,000007.XSHE
2024-09-02,4.6,4.64,4.65,4.56,2295550.0,10563889.0,000007.XSHE
2024-09-03,4.63,4.62,4.66,4.53,1936900.0,8877524.0,000007.XSHE
2024-09-04,4.6,4.58,4.61,4.53,1267100.0,5786884.0,000007.XSHE
2024-09-05,4.58,4.77,4.8,4.53,3055300.0,14374980.0,000007.XSHE
2024-09-06,4.87,4.73,5.01,4.72,3381700.0,16331008.84,000007.XSHE
2024-09-09,4.72,4.75,4.81,4.64,2512900.0,11925882.0,000007.XSHE
2024-09-10,4.8,4.76,4.92,4.69,1923800.0,9155476.0,000007.XSHE
2024-09-11,4.76,4.64,4.77,4.63,2123800.0,9940067.0,000007.XSHE
2024-09-12,4.66,4.68,4.76,4.64,2175600.0,10245963.0,000007.XSHE
2024-09-13,4.68,4.74,4.79,4.66,2372257.0,11237524.32,000007.XSHE
2024-09-18,4.75,4.98,5.04,4.7,6148000.0,30042502.0,000007.XSHE
2024-09-19,4.99,5.42,5.48,4.88,19691802.0,104001534.76,000007.XSHE
2024-09-20,5.31,5.45,5.54,5.25,13093102.0,71108002.67,000007.XSHE
2024-09-23,5.5,5.66,5.87,5.44,11310656.0,63756284.36,000007.XSHE
2024-09-24,5.7,5.55,5.79,5.44,11893697.0,66330923.35,000007.XSHE
2024-09-25,5.56,5.62,5.83,5.53,10252650.0,57964857.0,000007.XSHE
2024-09-26,5.65,5.79,5.81,5.6,7892327.0,44915480.69,000007.XSHE
2024-09-27,5.93,6.15,6.35,5.8,14855600.0,90635761.0,000007.XSHE
2024-09-30,6.42,6.77,6.77,6.25,19452091.0,128200050.26,000007.XSHE
2024-10-08,7.45,7.26,7.45,6.9,26286659.0,189140962.18,000007.XSHE
2024-10-09,7.26,7.16,7.7,6.75,34131118.0,252154030.45,000007.XSHE
2024-10-10,7.2,7.08,7.43,7.01,14823451.0,107476535.16,000007.XSHE
2024-10-11,7.12,6.46,7.26,6.38,24256531.0,160895260.24,000007.XSHE
2024-10-14,6.46,6.73,6.77,6.35,11276081.0,74196967.7,000007.XSHE
2024-10-15,6.77,6.79,7.12,6.6,12766300.0,88517063.0,000007.XSHE
2024-10-16,6.8,6.63,6.8,6.51,8445913.0,55892215.15,000007.XSHE
2024-10-17,6.83,6.56,6.88,6.51,11107698.0,74223912.4,000007.XSHE
2024-10-18,6.5,6.58,6.68,6.4,10311600.0,67470812.5,000007.XSHE
2024-10-21,6.59,6.59,6.82,6.53,8337462.0,55569076.04,000007.XSHE
2024-10-22,6.55,6.79,6.88,6.53,7277055.0,48669176.6,000007.XSHE
2024-10-23,6.8,6.86,7.04,6.72,9102750.0,62888307.5,000007.XSHE
2024-10-24,6.86,6.78,6.88,6.75,4195552.0,28550926.58,000007.XSHE
2024-10-25,6.82,7.29,7.46,6.78,29720251.0,216704639.46,000007.XSHE
2024-10-28,7.19,7.09,7.41,6.95,21645100.0,155014133.5,000007.XSHE
2024-10-29,7.04,6.91,7.15,6.91,10425682.0,73298007.46,000007.XSHE
2024-10-30,6.86,7.02,7.18,6.84,8106204.0,56643862.82,000007.XSHE
2024-10-31,6.97,6.79,7.02,6.75,10140751.0,69515655.79,000007.XSHE
2024-11-01,6.78,6.73,6.85,6.51,10014351.0,66922320.73,000007.XSHE
2024-11-04,6.75,7.12,7.24,6.7,13169457.0,92820773.7,000007.XSHE
2024-11-05,7.17,7.83,7.83,7.06,28633215.0,218361160.98,000007.XSHE
2024-11-06,8.61,8.1,8.61,8.01,58129000.0,487917403.24,000007.XSHE
2024-11-07,7.7,7.72,7.78,7.41,40343711.0,306552354.17,000007.XSHE
2024-11-08,7.74,7.46,7.87,7.35,24753957.0,186303278.95,000007.XSHE
2024-11-11,7.49,7.62,7.94,7.49,17151800.0,131028458.0,000007.XSHE
2024-11-12,7.56,7.7,7.84,7.46,14853451.0,113647162.05,000007.XSHE
2024-11-13,7.63,7.57,7.8,7.33,9362300.0,70916510.0,000007.XSHE
2024-11-14,7.58,7.45,7.7,7.41,7644300.0,57625645.0,000007.XSHE
2024-11-15,7.41,7.21,7.57,7.21,9218700.0,67865606.0,000007.XSHE
2024-11-18,7.22,7.06,7.32,7.02,9101050.0,65221215.5,000007.XSHE
2024-11-19,7.01,7.08,7.18,6.9,7959600.0,55861349.0,000007.XSHE
2024-11-20,7.08,7.02,7.27,6.98,8111700.0,57333015.0,000007.XSHE
2024-11-21,7.01,7.05,7.05,6.93,4656902.0,32614294.0,000007.XSHE
2024-11-22,7.01,6.77,7.22,6.75,7484673.0,52225551.57,000007.XSHE
2024-11-25,6.77,7.06,7.12,6.76,9482600.0,66170322.0,000007.XSHE
2024-11-26,6.99,7.25,7.39,6.99,11152000.0,80668911.0,000007.XSHE
2024-11-27,7.25,7.04,7.25,6.81,8484750.0,59115740.5,000007.XSHE
2024-11-28,7.04,7.08,7.16,7.0,4843050.0,34360074.5,000007.XSHE
2024-11-29,7.09,7.26,7.43,7.06,9582059.0,69708483.39,000007.XSHE
2024-12-02,7.35,7.3,7.4,7.02,14107950.0,101478338.0,000007.XSHE
2024-12-03,7.32,7.13,7.32,7.09,9786600.0,70054149.0,000007.XSHE
2024-12-04,7.12,7.09,7.25,7.05,6145800.0,43843426.98,000007.XSHE
2024-12-05,7.02,7.17,7.21,7.02,6157049.0,44013367.39,000007.XSHE
2024-12-06,7.15,7.16,7.29,7.08,7418703.0,53143744.57,000007.XSHE
2024-12-09,7.16,7.27,7.46,7.1,12372102.0,90497932.5,000007.XSHE
2024-12-10,7.51,7.19,7.51,7.18,11255362.0,82573936.2,000007.XSHE
2024-12-11,7.12,7.38,7.38,7.12,7498063.0,54529861.67,000007.XSHE
2024-12-12,7.44,7.6,7.63,7.28,11914200.0,89003727.5,000007.XSHE
2024-12-13,7.55,7.26,7.55,7.26,8818000.0,64962486.0,000007.XSHE
2024-12-16,7.33,7.56,7.81,7.11,21109848.0,158586341.5,000007.XSHE
2024-12-17,7.58,7.1,7.72,7.07,15533848.0,112818190.52,000007.XSHE
2024-12-18,7.12,6.99,7.18,6.98,10535846.0,74269075.24,000007.XSHE
2024-12-19,6.85,6.94,7.04,6.85,5454600.0,37853673.5,000007.XSHE
2024-12-20,7.0,7.01,7.08,6.91,4577800.0,32066097.0,000007.XSHE
2024-12-23,7.02,6.72,7.07,6.7,7998248.0,54845017.6,000007.XSHE
2024-12-24,6.71,6.81,6.83,6.51,6759701.0,44983880.12,000007.XSHE
2024-12-25,6.79,6.63,6.89,6.52,4770148.0,31825919.2,000007.XSHE
2024-12-26,6.62,6.8,6.8,6.6,3144800.0,21185503.0,000007.XSHE
2024-12-27,6.8,7.1,7.28,6.8,12363250.0,87563313.5,000007.XSHE
2024-12-30,7.03,7.18,7.25,6.99,6553200.0,46676290.0,000007.XSHE
2024-12-31,7.22,7.03,7.23,7.01,5703900.0,40595317.01,000007.XSHE
2025-01-02,7.0,7.02,7.27,6.94,6821901.0,48456355.09,000007.XSHE
2025-01-03,6.99,6.6,7.02,6.6,7935300.0,53622184.0,000007.XSHE
2025-01-06,6.61,6.63,6.74,6.39,3807066.0,25114734.74,000007.XSHE
2025-01-07,6.63,6.93,6.93,6.58,3199490.0,21530879.8,000007.XSHE
2025-01-08,6.93,6.93,7.0,6.7,3861700.0,26524724.5,000007.XSHE
2025-01-09,6.91,7.13,7.2,6.83,6012100.0,42760306.0,000007.XSHE
2025-01-10,7.05,6.77,7.08,6.76,3985350.0,27600212.5,000007.XSHE
2025-01-13,6.69,6.82,6.83,6.58,3044967.0,20435486.54,000007.XSHE
2025-01-14,6.82,7.03,7.03,6.81,3855957.0,26768651.5,000007.XSHE
2025-01-15,7.02,7.04,7.15,6.96,4483500.0,31659627.0,000007.XSHE
2025-01-16,7.04,7.08,7.15,7.0,4200834.0,29752909.7,000007.XSHE
2025-01-17,7.01,7.1,7.23,6.98,5081534.0,36213389.4,000007.XSHE
2025-01-20,7.12,7.19,7.33,7.03,6518385.0,47183570.13,000007.XSHE
2025-01-21,7.25,7.13,7.28,7.1,3904057.0,27908294.98,000007.XSHE
2025-01-22,7.03,6.97,7.11,6.94,3634167.0,25446174.66,000007.XSHE
2025-01-23,7.01,6.96,7.17,6.93,3862344.0,27229965.88,000007.XSHE
2025-01-24,6.97,6.9,7.1,6.83,4763544.0,32994383.16,000007.XSHE
2025-01-27,6.95,6.95,7.13,6.91,4630310.0,32535499.0,000007.XSHE
2025-02-05,7.0,7.0,7.03,6.9,3804400.0,26474930.0,000007.XSHE
2025-02-06,7.02,7.0,7.12,6.94,5513900.0,38602576.0,000007.XSHE
2025-02-07,7.01,6.95,7.1,6.86,8341872.0,58293734.56,000007.XSHE
2025-02-10,7.0,6.91,7.02,6.86,6722900.0,46460423.0,000007.XSHE
2025-02-11,6.9,6.73,6.9,6.69,6652300.0,44914830.0,000007.XSHE
2025-02-12,6.73,6.72,6.76,6.59,5719180.0,38186852.8,000007.XSHE
2025-02-13,6.7,6.71,6.79,6.68,4071400.0,27374224.0,000007.XSHE
2025-02-14,6.71,6.67,6.71,6.6,4537200.0,30120355.0,000007.XSHE
2025-02-17,6.69,6.66,6.69,6.55,4084700.0,27039631.0,000007.XSHE
2025-02-18,6.64,6.55,6.69,6.52,4533200.0,29936632.0,000007.XSHE
2025-02-19,6.57,6.57,6.59,6.48,3426000.0,22407098.0,000007.XSHE
2025-02-20,6.58,6.59,6.66,6.55,3878300.0,25642857.5,000007.XSHE
2025-02-21,6.64,6.49,6.64,6.46,4195102.0,27251837.96,000007.XSHE
2025-02-24,6.48,6.61,6.75,6.44,7418050.0,49316402.5,000007.XSHE
2025-02-25,6.61,6.45,6.61,6.43,5184016.0,33590600.04,000007.XSHE
